dataset_name,TS-QUAD,EE,EE$^+$,EE$_{PF2}$,1NN-ADTW$^+$,ProximityForest$^+$,ProximityForest 1.0,ProximityForest 2.0
SemgHandSubjectCh2,0.8933333333333333,0.9244444444444444,0.9044444444444444,0.8644444444444445,0.7977777777777778,0.9311111111111112,0.9355555555555556,0.9266666666666666
ShapeletSim,0.9111111111111112,0.8277777777777777,0.8055555555555556,0.9166666666666666,0.8666666666666667,0.8277777777777777,0.8,0.95
ShapesAll,0.86,0.865,0.8716666666666667,0.8916666666666667,0.8566666666666667,0.89,0.8866666666666667,0.8916666666666667
SmallKitchenAppliances,0.7013333333333334,0.688,0.752,0.76,0.7066666666666667,0.7813333333333333,0.752,0.784
SmoothSubspace,0.9933333333333332,0.9866666666666668,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,1.0
SonyAIBORobotSurface1,0.7254575707154742,0.7054908485856906,0.697171381031614,0.7021630615640599,0.718801996672213,0.8252911813643927,0.8369384359400999,0.8169717138103162
SonyAIBORobotSurface2,0.8856243441762854,0.8782791185729276,0.8688352570828961,0.8667366211962224,0.8719832109129066,0.8992654774396642,0.8982161594963274,0.8866736621196223
StarLightCurves,0.945726080621661,0.9330985915492958,0.9207139388052452,0.9652744050509956,0.9057795046138902,0.9817872753763964,0.9811801845556096,0.9821515298688684
Strawberry,0.9486486486486486,0.945945945945946,0.945945945945946,0.9567567567567568,0.9351351351351352,0.9621621621621622,0.9675675675675676,0.9648648648648648
SwedishLeaf,0.9152,0.9152,0.912,0.936,0.8848,0.9472,0.9456,0.9504
Symbols,0.9628140703517588,0.9597989949748744,0.9628140703517588,0.9658291457286432,0.9618090452261306,0.9738693467336684,0.9668341708542714,0.9768844221105528
SyntheticControl,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.97,0.99,0.9966666666666668,0.9966666666666668,0.99
ToeSegmentation1,0.7850877192982456,0.8245614035087719,0.8421052631578947,0.8289473684210527,0.8114035087719298,0.9517543859649122,0.9210526315789472,0.9692982456140352
ToeSegmentation2,0.9076923076923076,0.8846153846153846,0.8923076923076924,0.9,0.9076923076923076,0.9076923076923076,0.8692307692307693,0.9076923076923076
Trace,0.99,0.99,0.99,0.99,1.0,1.0,1.0,1.0
TwoLeadECG,0.9631255487269534,0.9631255487269534,0.9789288849868304,0.9894644424934153,0.9385425812115892,0.9973661106233538,0.9877085162423178,0.9982440737489026
TwoPatterns,0.99975,1.0,1.0,1.0,1.0,1.0,1.0,0.99975
UMD,0.9861111111111112,0.9861111111111112,0.9930555555555556,0.9930555555555556,0.9652777777777778,0.9861111111111112,0.9930555555555556,0.9861111111111112
UWaveGestureLibraryAll,0.9709659408151872,0.9723618090452262,0.9715242881072028,0.9731993299832497,0.9623115577889448,0.9751535455053044,0.9720826353992184,0.9779452819653824
UWaveGestureLibraryX,0.7920156337241765,0.8012283640424344,0.809324399776661,0.8149078726968174,0.7822445561139029,0.84142936906756,0.8271915131211613,0.8472920156337241
UWaveGestureLibraryY,0.7096594081518705,0.7213847012841987,0.714963707426019,0.7398101619207147,0.7093802345058626,0.7671691792294807,0.7654941373534339,0.7844779452819653
UWaveGestureLibraryZ,0.7077051926298158,0.7213847012841987,0.7261306532663316,0.7303182579564489,0.7026800670016751,0.7805695142378559,0.7635399218313791,0.7858738135120045
Wafer,0.9974042829331604,0.9970798182998052,0.9974042829331604,0.9977287475665152,0.9974042829331604,0.9977287475665152,0.995619727449708,0.9983776768332252
Wine,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.6111111111111112,0.5925925925925926,0.5370370370370371,0.5925925925925926,0.5185185185185185
WordSynonyms,0.7774294670846394,0.7774294670846394,0.7884012539184952,0.7946708463949843,0.7852664576802508,0.7931034482758621,0.7836990595611285,0.7821316614420063
Worms,0.6493506493506493,0.6753246753246753,0.6363636363636364,0.6623376623376623,0.5844155844155844,0.6753246753246753,0.7402597402597403,0.7012987012987013
WormsTwoClass,0.6753246753246753,0.6753246753246753,0.6623376623376623,0.7142857142857143,0.6883116883116883,0.7532467532467533,0.7922077922077922,0.7792207792207793
Yoga,0.8756666666666667,0.8786666666666667,0.8746666666666667,0.8973333333333333,0.8663333333333333,0.887,0.8776666666666667,0.8893333333333333
